Index,P,PROVIDER TYPE,PROVIDER NAME,AREA,ADDRESS,TELEPHONE,lat,lon,formatted,confidence,attribution
1,AJM,CLINIC,SHIFA AL JAZEERAH MEDICAL CENTRE - AJMAN,SANIYA,"MUHDDA BUILDING, NEAR NEST HYPERMARKET, NEW SANAYA, IND. AREA - 2, AJMAN - U A E.",06 7444830,25.413015,55.505489,"Ajman University J1 Building, Al Jerf, Ajman, AJ, United Arab Emirates",0.0142492805111653,© OpenStreetMap contributors
2,AJM,CLINIC,SHIFA AL JAZEERAH MEDICAL CENTRE - L.L.C - BRANCH 01,JURF 1,"OPPOSITE TO LUCKY CENTRE, JURF-1, INDUSTRIAL AREA-3, AJMAN, U.A.E",06-7677511,25.403356,55.524396,"Ajman, AJ, United Arab Emirates",0.25,Who's On First
3,AJM,CLINIC,ADVANCED MEDICAL CENTRE,AL BUSTAN,"FLAT # 202, 2ND FR, CITY MART BLDG, OPP TO AJMAN MUNICIPALITY, SHEIKH RASHID BIN HUMAID STREET, AL BUSTAN, AJMAN",06-7459969/8007400,25.40328,55.52341,"Ajman, United Arab Emirates",0.00622962962962963,GeoNames
4,AJM,CLINIC,RIGHT HEALTH CLINIC JURF LLC,AL JURF 2,PO BOX 3484 SHOP NO 1 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7494969/8007400,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
5,AJM,CLINIC,RIGHT HEALTH CLINIC JURF2 LLC,AL JURF 2,PO BOX 3484 SHOP NO 2 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7404141/8007400,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
6,AJM,CLINIC,RELIEF MEDICAL CENTER LLC,AL NAKHIL 2,"G8, A BLOCK, AL DIWAN TOWER, SHEIKH RASHID BIN HUMEED ST. AL NAKHIL 2, AJMAN, UAE",06-7483030,25.370065,55.567881,"2 Alberawi Street, Yasmeen, Ajman, AJ, United Arab Emirates",0.0252,© OpenStreetMap contributors
7,AJM,CLINIC,AL RAFI CLINIC,RING ROAD,"RING ROAD,NEAR CHINA DANEM BLDG,SHOP NO 208,209",06-7432844,25.023061,55.243144,"209 Ring Road, Damac Hills, Dubai, DU, United Arab Emirates",0.5,© OpenStreetMap contributors
8,AJM,CLINIC,EMIRATES PVT MEDICAL CENTRE,SANIYA,"INDUSTRIAL AREA,SANAIYA, AJMAN",06-7486177,25.380924,55.479205,"New Industrial, Ajman, AJ, United Arab Emirates",0,Who's On First
9,AJM,CLINIC,SUNNY SHARQAN MEDICAL CENTRE LLC- AJMAN,AJMANS,"AL SHARQAN EXTENSION ,AL AROUBA STREET,TOWARDS AJMAN",06-5667996,24.41626175,54.4631591475769,"Al Noor Hospital Extension, Al Rawdah, Abu Dhabi, United Arab Emirates",0.388304081632653,© OpenStreetMap contributors
10,AJM,CLINIC,NMC MEDICAL CENTRE AJMAN LLC BR- RASHIDIYA - AJMAN,RASHIDIYA,"NEAR SAFEER HYPERMARKET ,SAMHA PLAZA,OPP AL KHOR TOWER, RASHIDIYA - AJMAN",06-7147666,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
11,AJM,CLINIC,MODERN MEDICAL CENTER,AL JURF,"AL JURF,INDUSTRIAL AREA 3,JEDDAH STREEET",06-7469695,25.41814,55.50791,"Al Jerf, Ajman, AJ, United Arab Emirates",0,GeoNames
12,AJM,CLINIC,METRO MEDICAL CENTRE,AL NUAIMIA,AL NUAIMIA,06-7469694,25.3843557,55.4542636,"Al Nuaimia, Ajman Emirate, United Arab Emirates",1,© OpenStreetMap contributors
13,AJM,CLINIC,MAPLE MEDICAL CENTER L.L.C,RAWDA STREET,"ABDUL HAQUE BUILDING,FLAT NO:559,AL SALAM STREET,RAWDA-3,AJMAN,UAE",06-5955921,25.3924017,55.4592192,"Al Salam, Mosaab Bin Omair Street, Meshairef, Ajman, Ajman Emirate, United Arab Emirates",0.107142857142857,© OpenStreetMap contributors
14,AJM,CLINIC,RED MAPLE MEDICAL CENTER L.L.C,AL JURF 3,"ABDUL HAQUE BUILDING,BAHIYA,INDUSTRIAL AREA, AL JURF-3,NEAR BROTHERS STEEL",06-5955921,25.66757,56.0021,"Ras al Khaimah, United Arab Emirates",0,GeoNames
15,AJM,CLINIC,AL AIN MEDICAL CENTER LLC,AL NUAIMIA,"AL AIN BUILDING, HAFIZ IBRAHIM STREET, FIRST FLOOR 104, 105, AL NUAIMIA, AJMAN",06-7406661,25.383995,55.462111,"104 Hafiz Ibrahim Street, Al Nuaimia, Ajman, AJ, United Arab Emirates",0.45,© OpenStreetMap contributors
16,AJM,CLINIC,AL SHROOQ POLYCLINIC,AL BUSTAN,"UAE EXCHANGE, KARAMA PLAZA BUILDING, 1ST FLOOR 104 A BLOCK, ALBUSTAN, AJMAN",06 7455688,25.063663,55.145651,"Jumeirah Islands Townhouses Block A, Jumeirah Islands, Dubai, DU, United Arab Emirates",0.0284248126754288,© OpenStreetMap contributors
17,AJM,CLINIC,AL RUKN MEDICAL CENTER,RASHIDIYA-3,"AL ZAHEER STREET,RASHIDIYA-3,AJMAN,UAE",06-7482005,25.4027518,55.4372451,"Chenab Restaurant Ajman UAE, 6,7 Al Zaher Street, Al Rumailah, Ajman, AJ, United Arab Emirates",0.375,© OpenStreetMap contributors
18,AJM,CLINIC,AL GHARAFA MEDICAL CENTRE,AL BUSTAN,"3RD FLOOR, UAE EXCHANGE BUILD.LULU AREA",06-7448322,24.4802192,54.3699323,"3 floor, Dameedah Street, Al Danah, Abu Dhabi, AZ, United Arab Emirates",0.45,© OpenStreetMap contributors
19,AJM,CLINIC,LLH SPECIALIST MEDICAL CENTER,AL NUAIMIA,"MAIRAM TOWER, AL NUAIMIA, KING FAISAL STREET",06-7486747,25.3400681,55.38807715,"King Faisal Building, 313 King Faisal Street, Al Majaz, Sharjah, SH, United Arab Emirates",0.5,© OpenStreetMap contributors
20,AJM,CLINIC,KHALID LALA MEDICAL CLINIC LLC,AL JURF,"AL JURF INDISTRIAL AREA -2 , AL JEDDAH STREET,AJMAN",06-7483485,25.4097103,55.4433898,"Jeddah, Sheikh Rashid Bin Humaid Al Nuaimi Street, Al Nakhil, Ajman, Al Bustan, United Arab Emirates",0.0740740740740741,© OpenStreetMap contributors
21,AJM,CLINIC,KHALID MEDICAL CLINIC,NUAIMIA 3,"SHEIKH KHALIFA BIN ZAYED ST, NUAIMIA 3",06-5556303,25.392526122997,55.4337798371621,"3 Sheikh Khalifa Bin Zayed Street, Al Nuaimia, Ajman, Naymiyah 3, United Arab Emirates",0.21875,© OpenStreetMap contributors
22,AJM,CLINIC,ALENAYA MEDICAL CLINIC LLC,AL KHAN,ALBUSTAN TOWER FLAT NO 209 NEAR MASHRIQ BANK,06-7449666,,,,,
23,AJM,CLINIC,AJMAN MEDICAL CENTER,AJMAN,AL ZARAH BLDG MOEHAT ROUND ABOUT NEW INDUSTRIAL AREA AJMAN,06-7430088,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
24,AJM,CLINIC,MEDO MEDICAL CENTER,NUAIMIA,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-5556303,25.403356,55.524396,"Ajman, AJ, United Arab Emirates",0.5,Who's On First
25,AJM,CLINIC,CAREPLUS MEDICAL CENTER LLC AJMAN,AJMAN,"K.M TRADING BUILDING 1ST FLOOR FLAT NO: 115 OPP. LULU HYPERMARKET, AJMAN",06-7473341,,,,,
26,AJM,CLINIC,NOOR AL SHIFA CLINIC LLC,JURF,METRO BUILDING - JURF- AJMAN,06-5234870,25.239007,55.508355,"Building access, Al Khawaneej, Dubai, DU, United Arab Emirates",0,© OpenStreetMap contributors
27,AJM,CLINIC,AALIYA MEDICAL CENTRE,AL BUSTAN,"CITY MART BUILDING, OPP-KUWAIT HOSPITAL, LULU HYPER MARKET, KUWAITE HOSPITAL STREET, AL BUSTAN, AJMAN",06-7475599,24.4884346,54.3665134,"Zayed The First St / Lifeline Hospital, Zayed The First Street, Al Danah, Abu Dhabi, AZ, United Arab Emirates",0.0786155325443787,© OpenStreetMap contributors
28,AJM,CLINIC,FAMILY MEDICAL CENTRE,NEW IND AREA AL ZAHRA,"NEAR AL HARAMAIN PERFUMES, NEW INDUSTRIAL AREA AL ZAHRA AJMAN, NEW INDUSTRIAL AREA, AJMAN",06-7434800,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
29,AJM,CLINIC,IBIN SINA MEDICAL CENTRE,AL QUDS STREET,"AL QUDS BUILDING, NEAR ENBD BANK AJMAN, AL QUDS STREET, AJMAN",06-7457755,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.0211570247933884,© OpenStreetMap contributors
30,AJM,CLINIC,NEW IBINSINA MEDICAL CENTRE,AL JURF,"CANADIAN BUILDING, NEAR AJMAN TARAFFIC & LICENSING DEPARTMENT, AL JURF, AJMAN",06-7413330,25.44254,55.53117,"Maqbarat al Jurf, Al Jerf Industrial, Ajman, United Arab Emirates",0.45,GeoNames
31,AJM,CLINIC,FIRST AID CLINIC LLC,AL JURF-4,"OPPOSITE MAPLE HOME LINEN INDUSTRY AND BLUE SUPERMARKET,BEHIND CHINA MALL,JURF- INDUSTRIAL AREA-4",06-7446752,25.0480152,55.1218741,"China Court - Ibn Battuta Mall, 1 Abraj Al Mina Street, Jabal Ali 1, Jebel Ali, The Gardens, United Arab Emirates",0.0170454545454545,© OpenStreetMap contributors
32,AJM,CLINIC,COST CARE GENERAL CLINIC,NUAIMIA 1,"AL MARZOOKI BUILDING, SHOP NO: 1, GROUND FLOOR, NUAIMEYA 1, AJMAN. PO BOX: 42789",06-5275643,25.383752,55.446061,"1 31 Street, Al Nuaimia, Ajman, AJ, United Arab Emirates",0.001245849609375,© OpenStreetMap contributors
33,AJM,CLINIC,EVE MEDICAL CENTRE LLC,AL JUR 2,J1 BUILDING 1ST FLOOR GARDEN CITY AL JURF 2 AJMAN,06-7498042,25.40378665,55.5070786634963,"Garden city, Al Jerf, Ajman, Ajman Emirate, United Arab Emirates",0,© OpenStreetMap contributors
34,AJM,CLINIC,ELAJ MEDICAL CENTRE L.L.C 01,AL NUAIMIYA 2,"37 COLLEGE ST - AL NUAIMIYA 2, AJMAN, UAE",06-7488808,25.00608265,55.2505310775868,"Al Thamam 2, 2 Al Thammam Street, Al Hebiah 5, Dubai, United Arab Emirates",0.225,© OpenStreetMap contributors
35,AJM,CLINIC,INTERNATIONAL SPECIALIST MEDICAL CENTRE AJMAN,AL NUAIMIA,"FISRT FLOOR,SHAFIQ RANA BUILDING,ABOVE AL HEKMAH PHARMACY, KUWAITI STREET. NAUIMIYA 1. AJMAN, PO BOX 2164",06-7463400,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.0229908512736796,© OpenStreetMap contributors
36,AJM,CLINIC,ELAJ MEDICAL CENTRE L.L.C AJMAN,AL RUMAILAH,AL RUMAILAH AREA AJMAN UAE,67418880,25.401063,55.430279,"Al Rumailah, Ajman, AJ, United Arab Emirates",0,Who's On First
37,AJM,CLINIC,AURA MEDICAL CENTER L. L.C,FJUR,"SHOP NO 21,JURF INDUSTRIAL ZONE 2,AJMAN",06-526 5455,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
38,AJM,CLINIC,ASTER MEDICAL CENTRE BR.(AJMAN),AJMAN,"SHAIKH KHALIFA BIN ZAYED STREET, AJMAN UAE",06-7314799,25.389796,55.551682,"Sheikh Khalifa bin zayed foundation Banquet Hall, Ragayeb, Ajman, AJ, United Arab Emirates",0.18753525,© OpenStreetMap contributors
39,AJM,CLINIC,ACCESS MEDICAL CENTRE (BR.OF DM),IND AREA-1,"AL HAMRAIN SOUQ, AJMAN INDUSTRIAL AREA 1,NEAR NESTO HYPERMARKET, AJMAN",06-7404778,25.4076181,55.4436978,"Kholood Dental clinic,Citymart building,Al bustan,Ajman, 302 Masfoot Street, Al Bustan, Ajman, United Arab Emirates",0.00591580726965342,© OpenStreetMap contributors
40,AJM,CLINIC,SARAH MEDICAL CENTRE,MASFUT,"AL RASHID AL BADAWANI BLDG, FLOOR 1, HATTA ROAD, MUZEIRAH, MASFUT, AJMAN, PO 12457",06-8522116,25.428808,55.463631,"30/1 Sheikh Mohammed Bin Rashid Al Maktoum road, Al Zawarah, Ajman, AJ, United Arab Emirates",0.00847323022959184,© OpenStreetMap contributors
