SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
2,AJM,Ajman,CLINIC,SHIFA AL JAZEERAH MEDICAL CENTRE - L.L.C - BRANCH 01,MOH-F-1000657,JURF 1,"OPPOSITE TO LUCKY CENTRE, JURF-1, INDUSTRIAL AREA-3, AJMAN, U.A.E",06-7677511,https://www.google.com/maps/search/?api=1&query=OPPOSITE%20TO%20LUCKY%20CENTRE%2C%20JURF-1%2C%20INDUSTRIAL%20AREA-3%2C%20AJMAN%2C%20U.A.E%2C%20Ajman%2C%20UAE,,,
3,AJM,Ajman,CLINIC,ADVANCED MEDICAL CENTRE L.L.C (AJMAN),MOH-F-1000853,AL BUSTAN,"FLAT # 202, 2ND FR, CITY MART BLDG, OPP TO AJMAN MUNICIPALITY, SHEIKH RASHID BIN HUMAID STREET, AL BUSTAN, AJMAN",06-7459969,https://www.google.com/maps/search/?api=1&query=FLAT%20%23%20202%2C%202ND%20FR%2C%20CITY%20MART%20BLDG%2C%20OPP%20TO%20AJMAN%20MUNICIPALITY%2C%20SHEIKH%20RASHID%20BIN%20HUMAID%20STREET%2C%20AL%20BUSTAN%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
4,AJM,Ajman,CLINIC,RIGHT HEALTH CLINIC JURF LLC,MOH-F-1000117,AL JURF 2,PO BOX 3484 SHOP NO 1 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7494969/8007400,https://www.google.com/maps/search/?api=1&query=PO%20BOX%203484%20SHOP%20NO%201%20JURF%20INDUSTRIAL%20ZONE%202%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
5,AJM,Ajman,CLINIC,RIGHT HEALTH CLINIC JURF2 LLC,MOH-F-1000316,AL JURF 2,PO BOX 3484 SHOP NO 2 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7404141/8007400,https://www.google.com/maps/search/?api=1&query=PO%20BOX%203484%20SHOP%20NO%202%20JURF%20INDUSTRIAL%20ZONE%202%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
6,AJM,Ajman,CLINIC,RELIEF MEDICAL CENTER LLC,MOH-F-1000668,AL NAKHIL 2,"G8, A BLOCK, AL DIWAN TOWER, SHEIKH RASHID BIN HUMEED ST. AL NAKHIL 2, AJMAN, UAE",054-7065362,https://www.google.com/maps/search/?api=1&query=G8%2C%20A%20BLOCK%2C%20AL%20DIWAN%20TOWER%2C%20SHEIKH%20RASHID%20BIN%20HUMEED%20ST.%20AL%20NAKHIL%202%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
7,AJM,Ajman,CLINIC,AL RAFI CLINIC,MOH-F-1000007,RING ROAD,"RING ROAD,NEAR CHINA DANEM BLDG,SHOP NO 208,209",06-7432844,https://www.google.com/maps/search/?api=1&query=RING%20ROAD%2CNEAR%20CHINA%20DANEM%20BLDG%2CSHOP%20NO%20208%2C209%2C%20Ajman%2C%20UAE,,,
8,AJM,Ajman,CLINIC,EMIRATES PRIVATE MEDICAL CENTER( FORMERLY OASIS GR-EMIRATES PRIVATEMEDICAL CENTER),MOH-F-1000206,SANIYA,"INDUSTRIAL AREA,SANAIYA, AJMAN",06-7486177,https://www.google.com/maps/search/?api=1&query=INDUSTRIAL%20AREA%2CSANAIYA%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
9,AJM,Ajman,CLINIC,NMC MEDICAL CENTRE AJMAN LLC BR- RASHIDIYA - AJMAN,MOH-F-1000270,RASHIDIYA,"NEAR SAFEER HYPERMARKET ,SAMHA PLAZA,OPP AL KHOR TOWER, RASHIDIYA - AJMAN",06-7147666,https://www.google.com/maps/search/?api=1&query=NEAR%20SAFEER%20HYPERMARKET%20%2CSAMHA%20PLAZA%2COPP%20AL%20KHOR%20TOWER%2C%20RASHIDIYA%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
10,AJM,Ajman,CLINIC,MODERN MEDICAL CENTRE LLC,MOH-F-1000241,AL JURF,"AL JURF,INDUSTRIAL AREA 3,JEDDAH STREEET",06-7469695,https://www.google.com/maps/search/?api=1&query=AL%20JURF%2CINDUSTRIAL%20AREA%203%2CJEDDAH%20STREEET%2C%20Ajman%2C%20UAE,,,
11,AJM,Ajman,CLINIC,METRO MEDICAL CENTRE LLC,MOH6126,AL NUAIMIA,AL NUAIMIA,06-7469694,https://www.google.com/maps/search/?api=1&query=AL%20NUAIMIA%2C%20Ajman%2C%20UAE,,,
12,AJM,Ajman,CLINIC,MAPLE MEDICAL CENTER L.L.C,MOH-F-1000552,RAWDA STREET,"ABDUL HAQUE BUILDING,FLAT NO:559,AL SALAM STREET,RAWDA-3,AJMAN,UAE",06-5955921,https://www.google.com/maps/search/?api=1&query=ABDUL%20HAQUE%20BUILDING%2CFLAT%20NO%3A559%2CAL%20SALAM%20STREET%2CRAWDA-3%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
13,AJM,Ajman,CLINIC,RED MAPLE MEDICAL CENTER L.L.C,MOH-F-1000359,AL JURF 3,"ABDUL HAQUE BUILDING,BAHIYA,INDUSTRIAL AREA, AL JURF-3,NEAR BROTHERS STEEL",06-5955921,https://www.google.com/maps/search/?api=1&query=ABDUL%20HAQUE%20BUILDING%2CBAHIYA%2CINDUSTRIAL%20AREA%2C%20AL%20JURF-3%2CNEAR%20BROTHERS%20STEEL%2C%20Ajman%2C%20UAE,,,
14,AJM,Ajman,CLINIC,AL AIN MEDICAL CENTER,MOH-F-1000295,AL NUAIMIA,"AL AIN BUILDING, HAFIZ IBRAHIM STREET, FIRST FLOOR 104, 105, AL NUAIMIA, AJMAN",06-7406661,https://www.google.com/maps/search/?api=1&query=AL%20AIN%20BUILDING%2C%20HAFIZ%20IBRAHIM%20STREET%2C%20FIRST%20FLOOR%20104%2C%20105%2C%20AL%20NUAIMIA%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
15,AJM,Ajman,CLINIC,AL SHROOQ POLYCLINIC,MOH-F-1000226,AL BUSTAN,"UAE EXCHANGE, KARAMA PLAZA BUILDING, 1ST FLOOR 104 A BLOCK, ALBUSTAN, AJMAN",06 7455688,https://www.google.com/maps/search/?api=1&query=UAE%20EXCHANGE%2C%20KARAMA%20PLAZA%20BUILDING%2C%201ST%20FLOOR%20104%20A%20BLOCK%2C%20ALBUSTAN%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
16,AJM,Ajman,CLINIC,AL RUKN MEDICAL CENTER,MOH-F-1000380,RASHIDIYA-3,"AL ZAHEER STREET,RASHIDIYA-3,AJMAN,UAE",06-7482005,https://www.google.com/maps/search/?api=1&query=AL%20ZAHEER%20STREET%2CRASHIDIYA-3%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
17,AJM,Ajman,CLINIC,AL GHARAFA MEDICAL CENTRE,MOH-F-1000003,AL BUSTAN,"3RD FLOOR, UAE EXCHANGE BUILD.LULU AREA",06-7448322,https://www.google.com/maps/search/?api=1&query=3RD%20FLOOR%2C%20UAE%20EXCHANGE%20BUILD.LULU%20AREA%2C%20Ajman%2C%20UAE,,,
18,AJM,Ajman,CLINIC,LLH SPECIALIST MEDICAL CENTER,MOH-F-1000093,AL NUAIMIA,"MAIRAM TOWER, AL NUAIMIA, KING FAISAL STREET",06-7486747,https://www.google.com/maps/search/?api=1&query=MAIRAM%20TOWER%2C%20AL%20NUAIMIA%2C%20KING%20FAISAL%20STREET%2C%20Ajman%2C%20UAE,,,
19,AJM,Ajman,CLINIC,KHALID LALA MEDICAL CLINIC LLC,MOH7061,AL JURF,"AL JURF INDISTRIAL AREA -2 , AL JEDDAH STREET,AJMAN",06-7483485,https://www.google.com/maps/search/?api=1&query=AL%20JURF%20INDISTRIAL%20AREA%20-2%20%2C%20AL%20JEDDAH%20STREET%2CAJMAN%2C%20Ajman%2C%20UAE,,,
20,AJM,Ajman,CLINIC,ALENAYA MEDICAL CLINIC LLC,MOH6877,AL KHAN,ALBUSTAN TOWER FLAT NO 209 NEAR MASHRIQ BANK,06-7449666,https://www.google.com/maps/search/?api=1&query=ALBUSTAN%20TOWER%20FLAT%20NO%20209%20NEAR%20MASHRIQ%20BANK%2C%20Ajman%2C%20UAE,,,
21,AJM,Ajman,CLINIC,AJMAN MEDICAL CENTER,MOH-F-1000009,AJMAN,AL ZARAH BLDG MOEHAT ROUND ABOUT NEW INDUSTRIAL AREA AJMAN,06-7430088,https://www.google.com/maps/search/?api=1&query=AL%20ZARAH%20BLDG%20MOEHAT%20ROUND%20ABOUT%20NEW%20INDUSTRIAL%20AREA%20AJMAN%2C%20Ajman%2C%20UAE,,,
22,AJM,Ajman,CLINIC,MEDO MEDICAL CENTER,MOH-F-1000227,NUAIMIA,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-5556303,https://www.google.com/maps/search/?api=1&query=OFFICE%20105%2C%20SHEIKH%20AMMAR%20BIN%20HUMAID%20STREET%2C%20JURF%20INDUSTRIAL%201%2C%20AJMAN%2C%20UNITED%20ARAB%20EMIRATES%2C%20Ajman%2C%20UAE,,,
23,AJM,Ajman,CLINIC,CAREPLUS MEDICAL CENTER LLC AJMAN,MOH-F-1000279,AJMAN,"K.M TRADING BUILDING 1ST FLOOR FLAT NO: 115 OPP. LULU HYPERMARKET, AJMAN",06-7473341,https://www.google.com/maps/search/?api=1&query=K.M%20TRADING%20BUILDING%201ST%20FLOOR%20FLAT%20NO%3A%20115%20OPP.%20LULU%20HYPERMARKET%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
24,AJM,Ajman,CLINIC,NOOR AL SHIFA CLINIC LLC,MOH-F-1000680,JURF,METRO BUILDING - JURF- AJMAN,06-5234870,https://www.google.com/maps/search/?api=1&query=METRO%20BUILDING%20-%20JURF-%20AJMAN%2C%20Ajman%2C%20UAE,,,
25,AJM,Ajman,CLINIC,AALIYA MEDICAL CENTRE,MOH-F-1000204,AL BUSTAN,"CITY MART BUILDING, OPP-KUWAIT HOSPITAL, LULU HYPER MARKET, KUWAITE HOSPITAL STREET, AL BUSTAN, AJMAN",06-7475599,https://www.google.com/maps/search/?api=1&query=CITY%20MART%20BUILDING%2C%20OPP-KUWAIT%20HOSPITAL%2C%20LULU%20HYPER%20MARKET%2C%20KUWAITE%20HOSPITAL%20STREET%2C%20AL%20BUSTAN%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
26,AJM,Ajman,CLINIC,FAMILY MEDICAL CENTRE,MOH-F-1000202,NEW IND AREA AL ZAHRA,"NEAR AL HARAMAIN PERFUMES, NEW INDUSTRIAL AREA AL ZAHRA AJMAN, NEW INDUSTRIAL AREA, AJMAN",06-7434800,https://www.google.com/maps/search/?api=1&query=NEAR%20AL%20HARAMAIN%20PERFUMES%2C%20NEW%20INDUSTRIAL%20AREA%20AL%20ZAHRA%20AJMAN%2C%20NEW%20INDUSTRIAL%20AREA%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
27,AJM,Ajman,CLINIC,IBIN SINA MEDICAL CENTRE (AJMAN AL QUDS),MOH-F-1000203,AL QUDS STREET,"AL QUDS BUILDING, NEAR ENBD BANK AJMAN, AL QUDS STREET, AJMAN",06-7457755,https://www.google.com/maps/search/?api=1&query=AL%20QUDS%20BUILDING%2C%20NEAR%20ENBD%20BANK%20AJMAN%2C%20AL%20QUDS%20STREET%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
28,AJM,Ajman,CLINIC,NEW IBINSINA MEDICAL CENTRE (AJMAN JURF),MOH-F-1000205,AL JURF,"CANADIAN BUILDING, NEAR AJMAN TARAFFIC & LICENSING DEPARTMENT, AL JURF, AJMAN",06-7413330,https://www.google.com/maps/search/?api=1&query=CANADIAN%20BUILDING%2C%20NEAR%20AJMAN%20TARAFFIC%20%26%20LICENSING%20DEPARTMENT%2C%20AL%20JURF%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
29,AJM,Ajman,CLINIC,SHEIKHA CLINIC LLC (FORMERLY FIRSTAID CLINIC LLC),MOH-F-1000245,JURF-3,"JURF 3, AJMAN, UAE",06-7407042,https://www.google.com/maps/search/?api=1&query=JURF%203%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
30,AJM,Ajman,CLINIC,COST CARE GENERAL CLINIC,MOH-F-1000365,NUAIMIA 1,"AL MARZOOKI BUILDING, SHOP NO: 1, GROUND FLOOR, NUAIMEYA 1, AJMAN. PO BOX: 42789",06-5275643,https://www.google.com/maps/search/?api=1&query=AL%20MARZOOKI%20BUILDING%2C%20SHOP%20NO%3A%201%2C%20GROUND%20FLOOR%2C%20NUAIMEYA%201%2C%20AJMAN.%20PO%20BOX%3A%2042789%2C%20Ajman%2C%20UAE,,,
31,AJM,Ajman,CLINIC,EVE MEDICAL CENTRE LLC(AJM),MOH-F-1000472,AL JURF 2,J1 BUILDING 1ST FLOOR GARDEN CITY AL JURF 2 AJMAN,06-7498042,https://www.google.com/maps/search/?api=1&query=J1%20BUILDING%201ST%20FLOOR%20GARDEN%20CITY%20AL%20JURF%202%20AJMAN%2C%20Ajman%2C%20UAE,,,
32,AJM,Ajman,CLINIC,ELAJ MEDICAL CENTRE  L.L.C 01,MOH-F-1000607,AL NUAIMIA 2,"37 COLLEGE ST - AL NUAIMIYA 2, AJMAN, UAE",06-7488808,https://www.google.com/maps/search/?api=1&query=37%20COLLEGE%20ST%20-%20AL%20NUAIMIYA%202%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
33,AJM,Ajman,CLINIC,INTERNATIONAL SPECIALIST MEDICAL CENTRE,MOH-F-1000259,AL NUAIMIA,"FISRT FLOOR,SHAFIQ RANA BUILDING,ABOVE AL HEKMAH PHARMACY, KUWAITI STREET. NAUIMIYA 1. AJMAN, PO BOX 2164",06-7463400,https://www.google.com/maps/search/?api=1&query=FISRT%20FLOOR%2CSHAFIQ%20RANA%20BUILDING%2CABOVE%20AL%20HEKMAH%20PHARMACY%2C%20KUWAITI%20STREET.%20NAUIMIYA%201.%20AJMAN%2C%20PO%20BOX%202164%2C%20Ajman%2C%20UAE,,,
34,AJM,Ajman,CLINIC,ELAJ MEDICAL CENTRE LLC,MOH-F-1000255,AL RUMAILAH,AL RUMAILAH AREA AJMAN UAE,67418880,https://www.google.com/maps/search/?api=1&query=AL%20RUMAILAH%20AREA%20AJMAN%20UAE%2C%20Ajman%2C%20UAE,,,
