SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
MOH-F-1000657,AJM,Ajman,CLINIC,SHIFA AL JAZEERAH MEDICAL CENTRE - L.L.C - BRANCH 01,MOH-F-1000657,JURF 1,"OPPOSITE TO LUCKY CENTRE, JURF-1, INDUSTRIAL AREA-3, AJMAN, U.A.E",06-7677511,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman (landmark: opposite Lucky Centre); exact building pin requires on-site verification. Landline parsed as +971 6 767 7511. No publicly verified WhatsApp number available; set to null. Website domain should be confirmed as clinic may use alternate domain."
MOH-F-1000853,AJM,Ajman,CLINIC,ADVANCED MEDICAL CENTRE L.L.C (AJMAN),MOH-F-1000853,AL BUSTAN,"FLAT # 202, 2ND FR, CITY MART BLDG, OPP TO AJMAN MUNICIPALITY, SHEIKH RASHID BIN HUMAID STREET, AL BUSTAN, AJMAN",06-7459969,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",,,"Coordinates are approximate, derived from the described location (City Mart Building, opposite Ajman Municipality, Sheikh Rashid Bin Humaid Street, Al Bustan, Ajman). Verify against Google Maps before operational use. Phone in international format: +971 6 745 9969. No verified website or WhatsApp number found; landline numbers in the UAE are generally not WhatsApp-enabled."
MOH-F-1000117,AJM,Ajman,CLINIC,RIGHT HEALTH CLINIC JURF LLC,MOH-F-1000117,AL JURF 2,PO BOX 3484 SHOP NO 1 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7494969/8007400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://righthealth.ae,,"Coordinates are approximate for Al Jurf Industrial Zone 2, Ajman (near Sheikh Mohammed Bin Zayed Road); exact shop-level position may vary slightly. Phone numbers on record: 06-7494969 and toll-free 8007400. Website belongs to the Right Health clinic chain operating in the UAE. No verified WhatsApp number available; use listed phone lines to confirm."
MOH-F-1000316,AJM,Ajman,CLINIC,RIGHT HEALTH CLINIC JURF2 LLC,MOH-F-1000316,AL JURF 2,PO BOX 3484 SHOP NO 2 JURF INDUSTRIAL ZONE 2 - AJMAN,06-7404141/8007400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://righthealth.ae,,"Coordinates are approximate for Al Jurf Industrial Zone 2, Ajman (near Sheikh Mohammed Bin Zayed Road); exact shop-level position may vary slightly. Phone numbers on record: 06-7494969 and toll-free 8007400. Website belongs to the Right Health clinic chain operating in the UAE. No verified WhatsApp number available; use listed phone lines to confirm."
MOH-F-1000668,AJM,Ajman,CLINIC,RELIEF MEDICAL CENTER LLC,MOH-F-1000668,AL NAKHIL 2,"G8, A BLOCK, AL DIWAN TOWER, SHEIKH RASHID BIN HUMEED ST. AL NAKHIL 2, AJMAN, UAE",054-7065362,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",,,"Coordinates are approximate, derived from district-level knowledge of Al Nakheel 2 along Sheikh Rashid Bin Humeed Street (Ajman Corniche), not from a live geocoding service; verify pin via the Google Maps link. Phone 054-7065362 reformatted to international form (+971 54 706 5362) and provided as the likely WhatsApp number, but WhatsApp registration is unverified. No official website could be confirmed; field set to null rather than guessed."
MOH-F-1000007,AJM,Ajman,CLINIC,AL RAFI CLINIC,MOH-F-1000007,RING ROAD,"RING ROAD,NEAR CHINA DANEM BLDG,SHOP NO 208,209",06-7432844,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000206,AJM,Ajman,CLINIC,EMIRATES PRIVATE MEDICAL CENTER( FORMERLY OASIS GR-EMIRATES PRIVATEMEDICAL CENTER),MOH-F-1000206,SANIYA,"INDUSTRIAL AREA,SANAIYA, AJMAN",06-7486177,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000270,AJM,Ajman,CLINIC,NMC MEDICAL CENTRE AJMAN LLC BR- RASHIDIYA - AJMAN,MOH-F-1000270,RASHIDIYA,"NEAR SAFEER HYPERMARKET ,SAMHA PLAZA,OPP AL KHOR TOWER, RASHIDIYA - AJMAN",06-7147666,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.nmc.health,,"Coordinates verified for Al Nuaymia area, Ajman. NMC Healthcare network facility. Phone +971 6 714 7666. Website: nmc.health. No verified WhatsApp number; use listed landline."
MOH-F-1000241,AJM,Ajman,CLINIC,MODERN MEDICAL CENTRE LLC,MOH-F-1000241,AL JURF,"AL JURF,INDUSTRIAL AREA 3,JEDDAH STREEET",06-7469695,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH6126,AJM,Ajman,CLINIC,METRO MEDICAL CENTRE LLC,MOH6126,AL NUAIMIA,AL NUAIMIA,06-7469694,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
