SL_NO,PROVIDER_NAME,EMIRATE,PROVIDER_TYPE,INSURANCE_NETWORK,NOTES_EXCERPT
MOH-F-1000657,SHIFA AL JAZEERAH MEDICAL CENTRE - L.L.C - BRANCH 01,AJM,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000853,ADVANCED MEDICAL CENTRE L.L.C (AJMAN),AJM,CLINIC,UNKNOWN,"Coordinates are approximate, derived from the described loca"
MOH-F-1000117,RIGHT HEALTH CLINIC JURF LLC,AJM,CLINIC,Right Health / DARIC,"Coordinates are approximate for Al Jurf Industrial Zone 2, A"
MOH-F-1000316,RIGHT HEALTH CLINIC JURF2 LLC,AJM,CLINIC,Right Health / DARIC,"Coordinates are approximate for Al Jurf Industrial Zone 2, A"
MOH-F-1000668,RELIEF MEDICAL CENTER LLC,AJM,CLINIC,UNKNOWN,"Coordinates are approximate, derived from district-level kno"
MOH-F-1000007,AL RAFI CLINIC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000206,EMIRATES PRIVATE MEDICAL CENTER( FORMERLY OASIS GR-EMIRATES PRIVATEMEDICAL CENTER),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000270,NMC MEDICAL CENTRE AJMAN LLC BR- RASHIDIYA - AJMAN,AJM,CLINIC,NMC (Healthcare Network),"Coordinates verified for Al Nuaymia area, Ajman. NMC Healthc"
MOH-F-1000241,MODERN MEDICAL CENTRE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6126,METRO MEDICAL CENTRE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000552,MAPLE MEDICAL CENTER L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000359,RED MAPLE MEDICAL CENTER L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000295,AL AIN MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000226,AL SHROOQ POLYCLINIC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000380,AL RUKN MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000003,AL GHARAFA MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000093,LLH SPECIALIST MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH7061,KHALID LALA MEDICAL CLINIC LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6877,ALENAYA MEDICAL CLINIC LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000009,AJMAN MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000227,MEDO MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000279,CAREPLUS MEDICAL CENTER LLC AJMAN,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000680,NOOR AL SHIFA CLINIC LLC,AJM,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
MOH-F-1000204,AALIYA MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
