INSURANCE_NAME,HOMEPAGE,EMIRATES,PLAN_NAME,COVERAGE_TYPE,NETWORK_CLINICS,NETWORK_HOSPITALS
ADNIC - Abu Dhabi National Insurance Company,https://adnic.ae,"ABU,AXJ",Classic,Inpatient,"['NMC, Aster, Allied', 'Network of 300+ clinics']","['Corniche, NMC, LLH']"
ADNIC - Abu Dhabi National Insurance Company,https://adnic.ae,"ABU,AXJ",Premium,Both,"['Full network', '500+ clinics']",['All major hospitals']
DARIC - Dar Al-Insurance Company,https://www.daric.ae,"DUBAI,SHJ,AJM",Standard,Inpatient,['Network of 200 clinics'],"['Rashid, Zayed']"
DARIC - Dar Al-Insurance Company,https://www.daric.ae,"DUBAI,SHJ,AJM",Premium,Both,['Expanded network'],['All Dubai hospitals']
Aman Insurance,https://www.aman.ae,"AJM,SHJ,FUJ,UQ",Essential,Outpatient,['Listed GP clinics'],[]
Aman Insurance,https://www.aman.ae,"AJM,SHJ,FUJ,UQ",Comprehensive,Both,"['1,000+ clinics nationwide']","['Al Zahra, Canadian, Allied']"
Emirates NBD Insurance,https://www.emiratesnbd.ae/insurance,"DUBAI,ABU",Silver,Inpatient,['Partner clinics'],"['Emirates Hospital, Aster']"
Emirates NBD Insurance,https://www.emiratesnbd.ae/insurance,"DUBAI,ABU",Gold,Both,['200+ clinics'],['All major']
AXA Gulf,https://www.axa.ae,"DUBAI,ABU,SHJ",Basic,Inpatient,['Selected clinics'],"['Aster, Medeor']"
AXA Gulf,https://www.axa.ae,"DUBAI,ABU,SHJ",Premier,Both,"['2,000+ clinics']",['All teaching hospitals']
Noor Takaful Insurance,https://www.noortakaful.ae,"DUBAI,ABU,SHJ",Family Takaful,Both,['Partner network'],"['Al Zahra, Saudi German']"
Noor Takaful Insurance,https://www.noortakaful.ae,"DUBAI,ABU,SHJ",Individual Takaful,Outpatient,['Selected clinics'],[]
Gulf Insurance,https://www.gulfinsurance.ae,"DUBAI,SHJ,AJM",Essential,Inpatient,['Network clinics'],['Rashid Hospital']
Gulf Insurance,https://www.gulfinsurance.ae,"DUBAI,SHJ,AJM",Comprehensive,Both,['Extended network'],['All major']
Takafol Emarat,https://www.takafol.ae,"DUBAI,SHJ,AJM",Family Takaful,Both,['Partner network'],"['Al Zahra, Saudi German, NMC']"
