name,city,description,employees,url
360 Medical Center,Dubai,360 Medical Center employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/360-medical-center
800 Caregiver Home Health Care Center,Dubai,800 Caregiver Home Health Care Center employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/800-caregiver-home-health-care-center
Abeer Al Noor Poly Clinic,Dubai,Abeer Al Noor Poly Clinic employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/abeer-al-noor-poly-clinic
Abris Medical Centre,Dubai,Abris Medical Centre employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/abris-medical-centre
Access Clinic Dip,Dubai,Access Clinic Dip employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/access-clinic-dipdm-healthcare
Achira Clinics,Dubai,Achira Clinics employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/achira-clinics
Adalat Dental Holding B.V,Dubai,Adalat Dental Holding B.V employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/adalat-dental-holding-bv-dmcc
Adam Vital Hospital,Dubai,Adam Vital Hospital employs 177 UAE-licensed (Dubai) healthcare professionals in Dubai.,177,https://www.zavis.ai/professionals/facility/adam-vital-hospital
Adria Medical Center,Dubai,Adria Medical Center employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/adria-medical-center
Advanced Behavioural Learning Environment,Dubai,Advanced Behavioural Learning Environment employs 59 UAE-licensed (Dubai) healthcare professionals in Dubai.,59,https://www.zavis.ai/professionals/facility/advanced-behavioural-learning-environment
Advanced Care Medical Center,Dubai,Advanced Care Medical Center employs 90 UAE-licensed (Dubai) healthcare professionals in Dubai.,90,https://www.zavis.ai/professionals/facility/advanced-care-medical-center
Advanced Care Oncology Center,Dubai,Advanced Care Oncology Center employs 53 UAE-licensed (Dubai) healthcare professionals in Dubai.,53,https://www.zavis.ai/professionals/facility/advanced-care-oncology-center
Afiya Home Health Care,Dubai,Afiya Home Health Care employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/afiya-home-health-care
Aims Health Care,Dubai,Aims Health Care employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/aims-health-care
Airport Medical Center Concourse B - PHC,Dubai,Airport Medical Center Concourse B - PHC employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/airport-medical-center-concourse-b-phc
Airport Medical Center Concourse D - PHC,Dubai,Airport Medical Center Concourse D - PHC employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/airport-medical-center-concourse-d-phc
Al Azhar Clinic,Dubai,Al Azhar Clinic employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/al-azhar-clinic
Al Badaa Medical Center - PHC,Dubai,Al Badaa Medical Center - PHC employs 224 UAE-licensed (Dubai) healthcare professionals in Dubai.,224,https://www.zavis.ai/professionals/facility/al-badaa-medical-center-phc
Al Barsha Alnoor Polyclinic,Dubai,Al Barsha Alnoor Polyclinic employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/al-barsha-alnoor-polyclinic-l-l-c
Al Barsha Medical Center - PHC,Dubai,Al Barsha Medical Center - PHC employs 205 UAE-licensed (Dubai) healthcare professionals in Dubai.,205,https://www.zavis.ai/professionals/facility/al-barsha-medical-center-phc
Al Das Medical Clinic,Dubai,Al Das Medical Clinic employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/al-das-medical-clinic
Al Dehyafa Specialized Orthodontic and Dental Clinic,Dubai,Al Dehyafa Specialized Orthodontic and Dental Clinic employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/al-dehyafa-specialized-orthodontic-and-dental-clinic
Al Fadhl Home Health Care Center,Dubai,Al Fadhl Home Health Care Center employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/al-fadhl-home-health-care-center
Al Futtaim Medical Labs,Dubai,Al Futtaim Medical Labs employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/al-futtaim-medical-labsal-futtaim-healthcare-single-person-company
