Index,match_method,zavis_id,zavis_name,zavis_url,zavis_city,zavis_category,zavis_address,zavis_phone,zavis_lat,zavis_lon,zavis_email,zavis_maps_url
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,name,advanced-medical-centre-ajman,Advanced Medical Centre,https://www.zavis.ai/directory/ajman/clinics/advanced-medical-centre-ajman,Ajman,clinics,Citymart Bldg - above UAE Exchange - Al Bustan - ليوارة 1 - Ajman - United Arab Emirates,+971 6 745 9969,25.4077466,55.4439208,,"https://www.google.com/maps?q=25.4077466,55.4439208"
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,phone,emirates-private-medical-center-ajman,Emirates Private Medical Center,https://www.zavis.ai/directory/ajman/clinics/emirates-private-medical-center-ajman,Ajman,clinics,Ajman - Ajman Industrial 2 - Ajman - United Arab Emirates,+971 6 748 6177,25.3789718,55.4721439,,"https://www.google.com/maps?q=25.3789718,55.4721439"
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,name,al-ain-medical-center-llc-ajman,AL Ain Medical Center,https://www.zavis.ai/directory/ajman/clinics/al-ain-medical-center-llc-ajman,Ajman,clinics,Al Ain Market Building - 7565 - Alnuimia - النعيمية 1 - عجمان - United Arab Emirates,+971 6 740 6661,25.3800487,55.4588126,,"https://www.google.com/maps?q=25.3800487,55.4588126"
16,phone,al-shourouk-polyclinic-ajman,AL Shourouk Polyclinic,https://www.zavis.ai/directory/ajman/clinics/al-shourouk-polyclinic-ajman,Ajman,clinics,Al Ahalia Exchange Building، Karama Plaza - Al Bustan - ليوارة 1 - Ajman - United Arab Emirates,+971 6 745 5688,25.4108548,55.4439644,,"https://www.google.com/maps?q=25.4108548,55.4439644"
17,name,al-rukn-medical-centre-ajman,AL Rukn Medical Centre,https://www.zavis.ai/directory/ajman/clinics/al-rukn-medical-centre-ajman,Ajman,clinics,Al Zahir Street - opp. :AL YAMEN RESTAURANT &KITCHEN - Al Rashidiya 3 - Ajman - United Arab Emirates,+971 52 590 9758,25.3994594,55.4407665,,"https://www.google.com/maps?q=25.3994594,55.4407665"
18,phone,algharafa-medical-centre-ajman,Algharafa Medical Centre,https://www.zavis.ai/directory/ajman/clinics/algharafa-medical-centre-ajman,Ajman,clinics,Sheikh Rashid Bin Humeed St - Al Bustan - ليوارة 1 - Ajman - United Arab Emirates,+971 6 744 8322,25.4106825,55.4440323,,"https://www.google.com/maps?q=25.4106825,55.4440323"
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,name,ajman-medical-centre-ajman,Ajman Medical Centre,https://www.zavis.ai/directory/ajman/clinics/ajman-medical-centre-ajman,Ajman,clinics,Al Moehat Round About - Al Salam St - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 6 743 0088,25.3823216,55.4954842,,"https://www.google.com/maps?q=25.3823216,55.4954842"
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,phone,family-medical-center-ajman,Family Medical Center,https://www.zavis.ai/directory/ajman/clinics/family-medical-center-ajman,Ajman,clinics,Munah St - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 6 743 4800,25.3919733,55.49417,,"https://www.google.com/maps?q=25.3919733,55.49417"
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
