id,name,city,category,address,phone,rating,reviews,insurance,languages,url
a-1-medical-center-l-l-c-o-p-c-abu-dhabi,A 1 Medical Center,Abu Dhabi,clinics,"Taj Resorts RV-1, Al Nasser Properties - Mafraq-2 - Mafraq Industrial Area - Abu Dhabi - United Arab Emirates",+97126665010,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/a-1-medical-center-l-l-c-o-p-c-abu-dhabi
a-m-s-maritime-l-l-c-first-aid-clinic-abu-dhabi,A.m.s Maritime L.L.C. First Aid Clinic,Abu Dhabi,clinics,Al Khalidiyah - W10 - Abu Dhabi - United Arab Emirates,+97126332383,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/a-m-s-maritime-l-l-c-first-aid-clinic-abu-dhabi
mobile-health-unit-abu-dhabi,AD - 110 Clinic,Abu Dhabi,clinics,International Airport Road - CG93+RJQ - Sas Al Nakhl - Abu Dhabi - United Arab Emirates,+971 800 300,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/mobile-health-unit-abu-dhabi
ad-119-abu-dhabi,AD - 119,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-119-abu-dhabi
ad-125-abu-dhabi,AD - 125,Abu Dhabi,clinics,3MGC+5PC - مدينة الظنة - Ruwais City - أبو ظبي - United Arab Emirates,+9712-7071725,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-125-abu-dhabi
ad-126-abu-dhabi,AD - 126,Abu Dhabi,clinics,3MGC+5PC - مدينة الظنة - Ruwais City - أبو ظبي - United Arab Emirates,+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-126-abu-dhabi
ad-127-abu-dhabi,AD - 127,Abu Dhabi,clinics,3MC3+C72 - Al Dhannah City - Abu Dhabi - United Arab Emirates,+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-127-abu-dhabi
ad-128-abu-dhabi,AD - 128,Abu Dhabi,clinics,3JCX+XVJ - مدينة الظنة - مدينة الرويس - أبو ظبي - United Arab Emirates,+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-128-abu-dhabi
ad-132-abu-dhabi,AD - 132,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7071725,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-132-abu-dhabi
ad-133-abu-dhabi,AD - 133,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-133-abu-dhabi
ad-134-abu-dhabi,AD - 134,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7070000,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-134-abu-dhabi
ad-135-abu-dhabi,AD - 135,Abu Dhabi,clinics,3MGC+5PC - مدينة الظنة - Ruwais City - أبو ظبي - United Arab Emirates,+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-135-abu-dhabi
ad-136-abu-dhabi,AD - 136,Abu Dhabi,clinics,مدينة الظنة - مدينة الرويس - أبو ظبي - United Arab Emirates,+9712-7070000,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-136-abu-dhabi
ad-139-abu-dhabi,AD - 139,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-139-abu-dhabi
ad-140-abu-dhabi,AD - 140,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7071334,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-140-abu-dhabi
ad-141-abu-dhabi,AD - 141,Abu Dhabi,clinics,3MGC+5PC - مدينة الظنة - Ruwais City - أبو ظبي - United Arab Emirates,+9712-7071334,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-141-abu-dhabi
ad-142-abu-dhabi,AD - 142,Abu Dhabi,clinics,"Al Ruwais, Al Dhafrah",+9712-7070000,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-142-abu-dhabi
ad-165-abu-dhabi,AD - 165,Abu Dhabi,clinics,Abu Dhabi National Exhibition Centre - Al Rawdah - Al Ma'arid - Abu Dhabi - United Arab Emirates,+97127071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-165-abu-dhabi
ad-167-abu-dhabi,AD - 167,Abu Dhabi,clinics,CHFV+C3G - Al Heem St - Khalifa City - SE41 - Abu Dhabi - United Arab Emirates,+97127071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-167-abu-dhabi
ad-169-abu-dhabi,AD - 169,Abu Dhabi,clinics,المُوْرَد - Al Shamkhah - SH36 - Abu Dhabi - United Arab Emirates,+97127071275,,,,,https://www.zavis.ai/directory/abu-dhabi/clinics/ad-169-abu-dhabi
synergy-advanced-dental-and-orthodontic-center-l-l-c-abu-dhabi,Synergy Advanced Dental And Orthodontic Center,Abu Dhabi,dental,138 - 17 Al Minayzfah St - Al Shamkhah - SH14 - Abu Dhabi - United Arab Emirates,+971 800 7900,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/synergy-advanced-dental-and-orthodontic-center-l-l-c-abu-dhabi
jeiroudi-orthodontic-center-abu-dhabi,Jeiroudi Orthodontic Center,Abu Dhabi,dental,Abu Dhabi - Al Khalidiyah - W9 - Abu Dhabi - United Arab Emirates,+971(971)-2-6654990,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/jeiroudi-orthodontic-center-abu-dhabi
sama-tabrizi-dentistry-llc-branch-abu-dhabi,Sama Tabrizi Dentistry,Abu Dhabi,dental,Al Muntazah - Ministries Complex - Abu Dhabi - United Arab Emirates,+971 2 583 3328,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/sama-tabrizi-dentistry-llc-branch-abu-dhabi
the-verge-clinic-dental-l-l-c-s-p-c-abu-dhabi,The Verge Clinic Dental,Abu Dhabi,dental,Al Saadiyat Island - SDN1 - Abu Dhabi - United Arab Emirates,+971 55 880 7788,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/the-verge-clinic-dental-l-l-c-s-p-c-abu-dhabi
masters-dental-and-aesthetic-centre-l-l-c-abu-dhabi,Masters Dental And Aesthetic Centre,Abu Dhabi,dental,Al Muntazah - E48 - Abu Dhabi - United Arab Emirates,+97124448433,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/masters-dental-and-aesthetic-centre-l-l-c-abu-dhabi
glam-smile-dental-center-l-l-c-abu-dhabi,Glam Smile Dental Center,Abu Dhabi,dental,above Richmond trading - Al Wathba - Al Wathbah South - Abu Dhabi - United Arab Emirates,+971 56 190 4205,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/glam-smile-dental-center-l-l-c-abu-dhabi
al-mamsha-dental-center-l-l-c-abu-dhabi,AL Mamsha Dental Center,Abu Dhabi,dental,Madinat Al Riyad - RD9 - Abu Dhabi - United Arab Emirates,+97125555123,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/al-mamsha-dental-center-l-l-c-abu-dhabi
synergy-dental-center-llc-abu-dhabi,Synergy Dental Center,Abu Dhabi,dental,Villa 2 - Plot 8 Naseem Al Barr Street - Shakhbout City - MSH8 - Abu Dhabi - United Arab Emirates,+971 800 7900,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/synergy-dental-center-llc-abu-dhabi
international-center-for-dental-excellence-l-l-c-abu-dhabi,International Center For Dental Excellence,Abu Dhabi,dental,Centro Business Tower - 7th Floor - Al Rawdah - Al Ma'arid - Abu Dhabi - United Arab Emirates,+97124477752,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/international-center-for-dental-excellence-l-l-c-abu-dhabi
dental-experts-center-l-l-c-o-p-c-abu-dhabi,Dental Experts Center,Abu Dhabi,dental,"Khalidiyah Area, Al Bateen Street - Das Tower - 20th Floor - البطين - غرب 12 - أبو ظبي - United Arab Emirates",+97126810060,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/dental-experts-center-l-l-c-o-p-c-abu-dhabi
safe-care-dental-center-l-l-c-abu-dhabi,Safe Care Dental Center,Abu Dhabi,dental,"Building No11, Shaheen Supermarket - بني ياس - شرق 3 - أبو ظبي - United Arab Emirates",+97125868655,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/safe-care-dental-center-l-l-c-abu-dhabi
vision-dental-clinic-l-l-c-abu-dhabi,Vision Dental Clinic,Abu Dhabi,dental,Khalifa Street - beside Al Noor Hospital Al Ansari Exchange Building Office:1302 - Al Danah - E6 - Abu Dhabi - United Arab Emirates,+97123122777,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/vision-dental-clinic-l-l-c-abu-dhabi
aspen-dental-polyclinic-sole-proprietorship-l-l-c-abu-dhabi,Aspen Dental Polyclinic,Abu Dhabi,dental,"Villa 142, Al Mireef Street - A - مدينة خليفة - جنوب شرق 1 - أبو ظبي - United Arab Emirates",+971 2 551 6878,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/aspen-dental-polyclinic-sole-proprietorship-l-l-c-abu-dhabi
royal-specialized-dental-clinic-llc-opc-abu-dhabi,Royal Specialized Dental Clinic,Abu Dhabi,dental,Emirates House Curtain Building - M-01 - Electra Street - behind Green House - Al Danah - E3-02 - Abu Dhabi - United Arab Emirates,+97126323993,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/royal-specialized-dental-clinic-llc-opc-abu-dhabi
aesthetic-dental-center-sole-proprietorship-l-l-c-abu-dhabi,Aesthetic Dental Center,Abu Dhabi,dental,"104, ADCP Tower B, Behind City Seasons Hotel, Electra Street - Al Danah - E11 - Abu Dhabi - United Arab Emirates",+97126324455,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/aesthetic-dental-center-sole-proprietorship-l-l-c-abu-dhabi
beautica-dental-center-sole-proprietorship-l-l-c-abu-dhabi,Beautica Dental Center,Abu Dhabi,dental,302 Hardees Bldg - شارع حمدان بن محمد - next to KFC Bldg - الدانة - شرق 8 - أبو ظبي - United Arab Emirates,+971 50 920 7599,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/beautica-dental-center-sole-proprietorship-l-l-c-abu-dhabi
british-dental-medical-center-l-l-c-abu-dhabi,British Dental Medical Center,Abu Dhabi,dental,"Abu Dhabi, Abu Dhabi",+97197126773308,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/british-dental-medical-center-l-l-c-abu-dhabi
hakeem-dental-center-l-l-c-abu-dhabi,Hakeem Dental Center,Abu Dhabi,dental,Sheikh Zayed Bin Sultan St - Etihad Towers - 1st floor شارع الكورنيش الشرقي - opposite Sheraton - الدانة - Zone 1 - أبو ظبي - United Arab Emirates,+97126654200,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/hakeem-dental-center-l-l-c-abu-dhabi
dental-design-clinic-l-l-c-abu-dhabi,Dental Design Clinic,Abu Dhabi,dental,mall - Al Shamkhah - SH5 - Abu Dhabi - United Arab Emirates,+97124411344,,,,,https://www.zavis.ai/directory/abu-dhabi/dental/dental-design-clinic-l-l-c-abu-dhabi
