PROVIDER NAME,EMIRATE,NETWORK_TIER,AREA,TELEPHONE,PROVIDER TYPE,lat,lon
AL ABEER MEDICAL CENTER DAY SURGERY UNIT. L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",NAJDA STREET,02-5095000,HOSPITAL,24.489824,54.369768
AHALIA HOSPITAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA",HAMDAN STREET,02-6262666,HOSPITAL,24.488181,54.360019
SHEIKH KHALIFA MEDICAL CITY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KARAMA,02-8196491,HOSPITAL,24.470393,54.365691
LLH HOSPITAL LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA,ASASI",ELECTRA STREET,80-0555333,HOSPITAL,24.48418,54.360684
CORNICHE HOSPITAL (EXCLUDING DENTAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",CORNICHE HOSPITAL,02-6724900,HOSPITAL,24.501422,54.36979
LLH HOSPITAL AL MUSAFFAH,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSAFFAH,02-5557711,HOSPITAL,24.378533,54.517517
MADINAT ZAYED HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MADINAT ZAYED, WESTERN REGION",02-8071443,HOSPITAL,23.658371,53.680384
AL RAHBA HOSPITAL (EXCLUDING DENTAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL RAHBA,02-5064190,HOSPITAL,24.577256,54.695064
GHAYATHI HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018),AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","GHIATHY, WESTERN REGION",02-8071656,HOSPITAL,23.848064,52.804474
DELMA HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",DELMA,02-8942000,HOSPITAL,24.468917,54.3836
SILA HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SILA ,WESTERN REGION",26-7537842,HOSPITAL,24.0688,51.762017
MARFA HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MARFA, WESTERN REGION",02-8071443,HOSPITAL,24.085235,53.498244
LIWA HOSPITAL (DENTAL INCLUDED EFFECTIVE FROM 01/11/2018,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","LIWA,WESTERN REGION",02-8071655,HOSPITAL,23.147877,53.807084
BURJEEL HOSPITAL LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,ASASI",NAJDA STREET,02-5085658,HOSPITAL,24.479376,54.380926
LIFECARE HOSPITAL .LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA,ASASI",MAFRAQ AREA,02-5856333,HOSPITAL,24.25295,54.627733
AL DHANNAH HOSPITAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL DHAFRA REGION, AL DHANNAH CITY, ABU DHABI",02-6022444,HOSPITAL,24.101721,52.736541
LIFECARE HOSPITAL MUSAFFAH BRANCH1,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA,ASASI",NEAR VILLAGE MALL BEHIND ADNOC PUMP,02-4148241,HOSPITAL,24.361061,54.521375
NMC ROYAL WOMENS HOSPITAL L.L.C. (EXCLUDING DENTAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER","AL JAZIRA SPORTS CLUB,PLOT36,MUROOR",02-5082000,HOSPITAL,24.452457,54.393345
HEALTH POINT HOSPITAL LLC (,AUH,"PLATINUM,G PLUS",NEAR ZAYED SPORTS CITY,02-4929576,HOSPITAL,24.418816,54.45282
CLEVELAND CLINIC ABU DHABI LLC,AUH,"PLATINUM,G PLUS","AL MAQAM TOWER,AL MARYAH ISLAND",02-6590200,HOSPITAL,24.4968,54.3891
MEDEOR 24X7 HOSPITAL LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,ASASI","OPP EMPOST,MADINAT ZAYED,MUROOR",02-6900600,HOSPITAL,24.4803,54.3698
BAREEN INTERNATIONAL HOSPITAL (EXCLUDING DENTAL,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","MOHAMMED BIN ZAYED CITY,",02-5545555,HOSPITAL,24.339732,54.554373
DANAT AL EMARAT HOSPITAL FOR WOMEN & CHILDREN LLC (EXCLUDING DENTAL AND  DR. TAHER BENHIDJEB LICENSE#GD12251),AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",ABU DHABI GATE CITY AREA,02-6149999,HOSPITAL,24.3964,54.5008
PHOENIX HOSPITAL LLC (EXCLUDING DR.MUSTAFA MOHAMED BASHIR  MOHAMEDBAKHIET -GD20073,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","PLOT-1, SHABIA 10, MUSSAFAH,",02-6151515,HOSPITAL,24.332323,54.530804
SHEIKH SHAKBOUT MEDICAL CITY LLC,AUH,"PLATINUM,G PLUS,GOLD",SHEIKH MAKTOUM ROAD,02-5011111,HOSPITAL,24.32513,54.613673
BURJEEL MEDICAL CITY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER","28TH STREET, MOHAMED BIN ZAYED CITY",02-5085555,HOSPITAL,24.354317,54.538929
REEM HOSPITAL L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","OPPOSITE SORBONNE UNIVERSITY , REEM ISLAND",80-0007444,HOSPITAL,24.490902,54.412898
YAS CLINIC KHALIFA CITY - SOLE PROPRIETORSHIP L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER",KHALIFA CITY ABU DHABI,02-4945555,HOSPITAL,24.430314,54.582229
TARMEEM ORTHOPEDIC AND SPINE SPECIALTY HOSPITAL - L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER","SW 16, PLOT 1, KHALIFA CITY A , SECTOR 33",02-3013800,HOSPITAL,24.398021,54.554598
MILLENNIUM HOSPITAL L.L.C.,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","MUSSAFAH C 175, ME 9,",02-6113333,HOSPITAL,24.341792,54.537435
GLOBAL CARE HOSPITAL - SOLE PROPRIETORSHIP LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER","WEST 14-1, BUILDING 419, HAZAA BIN ZAYED THE FIRST STREET,AL MANHAL AREA",02-4185100,HOSPITAL,24.46477,54.3475
OASIS HOSPITAL,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA",AL MUTAWAA,03-7131159,HOSPITAL,24.206616,55.759712
EMIRATES INTERNATIONAL HOSPITAL,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA",OPPOSITE SAFEER SUPERMARKET,03-7637777,HOSPITAL,24.233988,55.722934
SPECIALIZED MEDICAL CARE HOSPITAL (,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA",AL JAHILI,03-7552291,HOSPITAL,24.214816,55.757652
TAWAM HOSPITAL (EXCLUDING DR MUHAMMED  QAZAFI  MEMON GD22111,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",JIMMY AREA,03-7072337,HOSPITAL,24.195597,55.650405
NMC SPECIALITY HOSPITAL AL AIN,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA",AL JIMI,03-7020527,HOSPITAL,24.230451,55.742728
MEDICLINIC HOSPITAL LLC (AL AIN BRANCH HOSPITAL),ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL MUTAWAA,03-7060269,HOSPITAL,24.224399,55.767717
AL WAGAN HOSPITAL (EXCLUDING DENTAL,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL WAGAN DISTRICT,03-7352222,HOSPITAL,23.616583,55.44335
