PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
Adam & Eve Specialized Medical Center - Auh,AUH,Clinic,Electra Street,"Adam And Eve Medical Center,01 Floor ,Pink Building,Near Royal Rose Hotel, Electra Street, Abu Dhabi",26767366,,
Adam & Eve Specialized Medical Centre L.L.C. - Branch,AUH,Clinic,Electra Street,"Adam And Eve Medical Center, 01 Floor, Pink Building, near Royal Rose Hotel, Electra Street",26219996,,
ADC TARIF CENTRAL CLINIC,AUH,CLINIC,AL DHAFRA,"ADC TARIF CENTRAL CAMP, AL DHAFRA",02 6023882,,
Adco Medical Centre,AUH,Clinic,Corniche,"Adnoc  Onshore,Khalidiya Abudhabi",26018587; 26043013,,
ADNOC HQ CLINIC,AUH,CLINIC,CORNICHE STREET,"ADNOC BUILDING, CORNICHE STREET, ABU DHABI UAE",02 6023882,,
Adnoc Technicial Instituite Clinic-Ati,AUH,Clinic,Al Shawamekh,Near Schlumberger - Al Shamkhah - Abu Dhabi,26022894,,
Adria Medical Center L.L.C Ex: Acacia Advanced Medical Center Llc,AUH,Clinic,Abu Dhabi,Villa 7 Zone 1 Mohammed Bin Zayed,25551551,,
Al Cornice Hospital Ivf Centre,AUH,Clinic,Corniche,Corniche Road Beside Sheraton  Abudhabi,26724900,,
Al Karama Medical Clinic-Auh,AUH,Clinic,Baniyas,"Balidia Market ,Banyas East Sector 8 Abudhabi",26720204,,
Al Maria Medical Centre,AUH,Clinic,Electra Street,"Near Safa Express Supermarket,Electrea Street",26339722,,
AL NASR FIELD CLINIC,AUH,CLINIC,ABU DHABI,"AL NASR FIELD ISLAND, ABU DHABI",02 6023882,,
Al Noor Medical Center - Aan,AUH,Clinic,Murabba,Alor Medical Cenetr Zayed Bin Sultan Street  Bldg .81St Floor Flat 2 Pobox 1576 Alain,27662072,,
Al Qatia Clinic,AUH,Clinic,Alqatia Island,"Alqatia Island, Abu Dhabi, UAE",26023882,,
Al Qudwah Medical Centre - Auh,AUH,Clinic,Near NMC,"Building No. 10  , Flat 101 #, Near NMC, Zayed the First St., Abu Dhabi",26214421,,
Al Rayyan Medical Centre - Auh,AUH,Clinic,Musafah,"Flat #102, Building #21, Sector 12, Shabiya, Mussafah, Abu Dhabi, P.O Box 30520, Abu Dhabi, UAE",25551719,,
Alpha Medical Centre Llc,AUH,Clinic,Musaffah,"Al Firdous Centre Plot#1, Opp Alfahim, Sanaya M3, Musaffah, Abu Dhabi",25558383,,
