PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
ABU SHARIA PHARMACY,AUH,PHARMACY,KHALIDIYA STREET,OPPOSITE BLOOD BANK BEHIND KHALIDIYA MALL,02-6670181,24.4679,54.3524
ABU AL-ABYAD CLINIC O.P. PH-SEHA,AUH,PHARMACY,WESTERN REGION,WESTERN REGION,02-8839140,24.1925,53.7738
ABU AL ABYAD ISLAND CLINIC-SEHA,AUH,CLINIC,WESTERN REGION,WESTERN REGION,02-8839140,24.1925,53.7752
ADRIA MEDICAL CENTER,AUH,CLINIC,,"ZONE 5,VILLA 79 NEAR MAZYAD MALL MOHAMMEDBINZAYED",02-5551551,24.3656,54.5403
ACCURACY PLUS MEDICAL LABORATORY,AUH,DIAGNOSTIC CENTER,HAMDAN STREET,ASTER PHARMACY BLDG.  M02 HAMDAN STREET AL DANAH,02-6333923,24.4899,54.3611
ADVANCED CENTER FOR DAY CARE SURGERY,AUH,DAY CARE,SHEIKH RASHID BIN SAEED STREET,JASMINE TOWER NEAR RAK BANK ABU DHABU,02-6227717,24.4722,54.3696
BU HASA PHARMACY (OUT-PATIENT),AUH,PHARMACY,,WESTERN REGION AL DHAFRAH ABUDHABI,02-6023882,23.5756,53.3155
BUHASA CLINIC (ADNOC) Y-252,AUH,CLINIC,,BUHASA,02-6035272/71,24.4721,54.3423
ARZANAH CLINIC,AUH,CLINIC,,"UMM AL NAR, NEAR AL MAQTA BRID ABU DHABI",02-6023882,24.4209,54.4861
ASAB CLINIC (ADNOC) Y-253,AUH,CLINIC,ASAB STREET,ASAB ADCO SITE,02-6034222,23.2881,54.2295
ASAB PHARMACY (OUT-PATIENT),AUH,PHARMACY,,"WESTERN REGION, AL DHAFRAH ABUDHABI",02-6023882,23.2887,54.2299
ADNOC TECHNICIAL INSTITUTE CLINIC-ATI,AUH,CLINIC,,AL SHAWAMEKH NEAR SCHLUMBERGE ABUDHABI,02-6023882,24.3787,54.6878
CENTRAL ISLAND CLINIC,AUH,CLINIC,,CENTRAL ISLAND CLINIC  CENTRAL ISLAND CLINIC,02-6023882,24.4854,54.3579
SHAH CLINIC (ADNOC),AUH,CLINIC,,68 KM S/WEST OF ASAB 165 KMS FROM ABU DHABI,02-6044248,23.1454,53.914
SHEIKH KHALIFA ENERGY CLINIC-ADNOC-SKEC,AUH,CLINIC,,SHEIKH KHALIFA ENERGY COMPLEX  ABUDHABI,02-6023882,24.498,54.3665
ADNOC TECHNICAL INSTITUTE PHARMACY,AUH,PHARMACY,,"AL SHAWAMEKH, NEAR SCHLUMBERGE ABUDHABI",02-6023882,24.3651,54.6597
DABBIYA CLINIC (ADNOC) Y-255,AUH,CLINIC,DABBIYA,AL DABBIYA ABT 50 KMS FRM ABU DHABI,02-6046789,24.3086,54.1153
DAS MEDICAL CENTER PHARMACY,AUH,PHARMACY,,DAS ISLAND  DAS ISLAND,02-6023882,25.1577,52.8765
HABSHAN CLINIC (ADNOC) Y-251,AUH,CLINIC,HABSHAN STREET,NEAR HABSHAN GASCO REFINERY,02-6038331,24.4612,54.3624
HABSHAN PHARMACY (OUT-PATIENT),AUH,PHARMACY,,"WESTERN REGION, AL DHAFRAH ABUDHABI",02-6023882,23.8651,53.6243
SAHIL CLINIC /SARDAR ALI (ADNOC),AUH,CLINIC,HAMAM ROAD,LIWA STREET,02-6049742,24.4755,54.3457
ZIRKU PHARMACY,AUH,PHARMACY,,ZIRKU ISLAND  ZIRKU ISLAND,02-6023882,24.883,53.0725
ADVANCE CURE DIAGNOSTIC CENTER LLC - BR2,AUH,CLINIC,,BACK SIDE OF ADNOC PATROL STAT AL BATEEN STREET ABU DHABI CITY,02-4100900,24.4593,54.3492
ADVANCED CURE DIAGNOSTICS CENTRE BRANCH1,AUH,CLINIC,32ND STREET,AL BATEEN VILLA NEAR BNP,02-410-0900,24.4594,54.3492
ADVANCE CURE PHARMACY,AUH,PHARMACY,32ND STREET,ADVANCED CURE DIAGNOSTIC BLDG. NBAD BANK,02-4100934,24.4596,54.3492
ADVANCED CURE DIAGNOSTIC CENTER,AUH,CLINIC,31ST STREET,OPP POST OFFICE NEAR AL BATEEN MALL,02-6675050,24.4595,54.3492
AHALIA HOSPITAL (AHALIA GROUP),AUH,HOSPITAL,HAMDAN STREET,SAME LINE OF LULU CENTRE OPPOSITE TO LIWA CENTRE,02-6262666,24.4906,54.36
AH CARE PHARMACY,AUH,PHARMACY,,NEAR DOHA BANK AL NAJDA STREET AL NAJDA,02-5465599,25.2854,51.531
AL AHLI HOSP COMPANY LLC-BR 1 (AHALIA),AUH,HOSPITAL,MUSSAFAH,AFTER THE BMW SHOWROOM TARIFF ROAD,02-8119119,24.3607,54.5215
AL AHLIA NATIONAL PHARMACY LLC (AHALIA),AUH,PHARMACY,TARIFF ROAD,AFTER THE BMW SHOWROOM,02-8119119,24.3636,54.5243
AL AFDAL MEDICAL CENTER LLC,AUH,CLINIC,M4 MINA ST,BUILDING 982  OFFICE,02-635532,24.5026,54.3733
AL AIN PHARMACY - AL DANAH,AUH,PHARMACY,ADNOC 999 SERVICE STN,na,02-6260650,24.4849,54.367
ALAIN PHARMACY - AL NAHYAN,AUH,PHARMACY,PLAZA 30 BUILDING,na,02-6260090,24.4716,54.3855
ALAIN PHARMACY - AL RIYAD CITY,AUH,PHARMACY,THE COURTYARD MALL OPP LULU HYPERMARKET,na,02-6671980,24.3271,54.7508
AL AIN PHARMACY - AL SA'ADAH,AUH,PHARMACY,TOWER B DANAT SQUARE,na,02-6453444,24.4291,54.4346
ALAIN PHARMACY - AL ZEINA,AUH,PHARMACY,AL ZEINA,na,02-5517772,24.4543,54.6143
ALAIN PHARMACY - KHALIFA CITY,AUH,PHARMACY,ETIHAD PLAZA BLDG,na,02-6216663,24.4437,54.6097
ALAIN PHARMACY - KHALIFA CITY 2,AUH,PHARMACY,AL MADINA FRESHMART BLDG,na,02-3094547,24.4302,54.561
ALAIN PHARMACY - MADINAT ZAYED,AUH,PHARMACY,AL DHAFRA WALK BLDG MADINAT ZAYED,na,02-6353356,23.6281,53.7141
ALAIN PHARMACY - RABDAN,AUH,PHARMACY,FORMER AD ISLAMIC BANK,na,02-6216664,24.4073,54.5059
ALAIN PHARMACY - RAWDHAT,AUH,PHARMACY,AL NEEM RESIDENCE,na,02-6282054,24.421,54.4637
ALAIN PHARMACY - AL RUWAIS,AUH,PHARMACY,OPPOSITE EMIRATES POST BESIDE ADCB BANK,na,02-4416115,24.0886,52.6484
ALAIN PHARMACY - YAS ISLAND,AUH,PHARMACY,NOYA PLAZA BLDG,na,02-6351770,24.4641,54.5967
AL MARINA PHARMACY LLC,AUH,PHARMACY,NAJDA STREET,NAJDA STREET,02-6343454,24.4915,54.3671
AL MARINA PHARMACY LLC BRANCH 1,AUH,PHARMACY,MUSAFFAH 37,NEAR OLD FRESH BANGLA SUPERMARKET MUSAFFAH 37 INDUSTRIAL AREA,02-5503115,24.4887,54.3574
PHOENIX HOSPITAL,AUH,HOSPITAL,MUSSAFAH,AL BUSTAN HOSPITAL BUILDING AL AIN -TARIFF ROAD SHABIAMUSAFFAH,02-6151515,24.3328,54.5308
PHOENIX HOSPITAL PHARMACY L.L.C,AUH,PHARMACY,MUSSAFAH,AL BUSTAN HOSPITAL BUILDING AL AIN -TARIFF ROAD SHABIAMUSAFFAH,02-6151515,24.3328,54.5308
AL CORNICHE HOSPITAL-SEHA,AUH,HOSPITAL,E. CORNICHE,E. CORNICHE,02-6724900,24.5008,54.3702
AL CORNICHE WOMEN HEALTH CTR-SEHA,AUH,CLINIC,Corniche Road,Beside Sheraton Hotel,02-6724900,24.5009,54.3684
ALFALAH LAND MARK PHARMACY,AUH,PHARMACY,AL FALAH STREET,AL FALAH STREET AL HAYER ROAD  SWEIHAN,02-6783777,24.4576,54.7402
AL FARHAN MEDICAL LABORATORY LLC,AUH,LABORATORY,,HAMAD MUBARAK HAMAD AL KHAILI NEAR BY FURTURE INTERNATIONAL BANIYAS EAST,02-5833883,24.287,54.6389
AL FARHAN MEDICAL CENTER,AUH,CLINIC,,ABDULLAH MISBAH AL AMERI OLD TAXI STAND AND ZENITH SUPE BANIYAS WEST,02-5832998,24.2876,54.6388
