PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
32 SMILES DENTAL CLINIC LLC (AL MEEL) ABU DHABI,AUH,CLINIC,,"PLAZA 30 AL MEEL STREET AL NAHYAN CAMP, ABU DHABI UAE",97124454666,24.471286,54.385818
A B C PLUS MEDICAL CENTER (MAFRAQ) ABU DHABI,AUH,CLINIC,Mafraq,MAFRAQ JARN YAFOUR-Abu Dhabi,97126279479,24.29157537,54.5818937
ABILITY PEDIATRIC REHABILITATION MEDICAL CENTER (AL DHANNAH CITY) ABU DHABI,AUH,CLINIC,Al Danah,"Villa Number 15, Behind Seven Hotspot Restaurant, Opposite Al Wahda Mall, Defence Road, P.O. BOX 128217, Abu Dhabi, UAE.",97123092900,24.47264082,54.37200141
ABU DHABI STEM CELLES CENTER (AL MISAHAH ST) ABU DHABI,AUH,CLINIC,,"AL MISAHAH STREET, VILLA NO. 25, AL MISAHAH STREET, ROWDHAT, ABU DHABI",97122086000,24.42434231,54.45619358
ADAM & EVE SPECIALIZED MEDICAL CENTRE (KARAMA ST) ABU DHABI,AUH,CLINIC,,"VILLA NO # 209, NEAR SHEIKH KHALIFA MEDICAL CITY,AL KARAMAH STREET, ABU DHABI",97126219996,24.46553088,54.36672041
ADNOC - ABU DHABI REFINERY CLINIC (PRVSLY SAS AL NAKHL CLINIC) ABU DHABI,AUH,CLINIC,,International Airport Road - Abu Dhabi,97126020575,0.00,0.00
ADNOC - Asab Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126034222,24.423316,54.503002
ADNOC - Buhasa Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126035269,24.417972,54.501425
ADNOC - Dabbayia Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126046789,24.2261,54.193822
ADNOC - HABSHAN MEDICAL CENTER WESTERN REGION PRVSLY HABSHAN CLINIC - WESTERN REGION,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126038331,23.795398,53.574829
ADNOC - Jabel Dhana Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126022444,24.164375,52.608633
ADNOC - Qusahwira Medical Center (Al Dhafra Reg.) Abu Dhabi,AUH,CLINIC,Western Region,"Al Dhafra Region, P.O. Box : 898, Abu Dhabi",97120000000,22.8415893,55.0795371
